Book Id,Title,Author,Author l-f,Additional Authors,ISBN,ISBN13,My Rating,Average Rating,Publisher,Binding,Number of Pages,Year Published,Original Publication Year,Date Read,Date Added,Bookshelves,Bookshelves with positions,Exclusive Shelf,My Review,Spoiler,Private Notes,Read Count,Owned Copies
23168817,"The Dark Forest (Remembrance of Earth’s Past, #2)",Liu Cixin,"Cixin, Liu",Joel Martinsen,"=""""","=""""",4,4.40,Tor Books,Hardcover,512,2015,2008,2024/02/03,2024/01/24,audio,audio (#10),read,,,,1,0
77565,"The Fall of Hyperion (Hyperion Cantos, #2)",Dan Simmons,"Simmons, Dan",,"=""0553288202""","=""9780553288209""",3,4.24,Spectra,Mass Market Paperback,517,1995,1990,2024/05/05,2024/04/10,"owned, audio","owned (#16), audio (#6)",read,,,,1,0
77566,"Hyperion (Hyperion Cantos, #1)",Dan Simmons,"Simmons, Dan",,"=""0553283685""","=""9780553283686""",4,4.28,Bantam Doubleday Dell Publishing Group,Mass Market Paperback,500,1990,1989,2024/04/09,2024/02/29,"owned, audio","owned (#17), audio (#7)",read,,,,1,0
20149192,How Jesus Became God: The Exaltation of a Jewish Preacher from Galilee,Bart D. Ehrman,"Ehrman, Bart D.",,"=""""","=""""",0,4.10,HarperOne,Hardcover,416,2014,2014,,2024/03/29,to-read,to-read (#157),to-read,,,,0,0
51364,Misquoting Jesus: The Story Behind Who Changed the Bible and Why,Bart D. Ehrman,"Ehrman, Bart D.",,"=""0060859512""","=""9780060859510""",0,3.94,HarperOne,Paperback,272,2007,2005,,2024/03/29,to-read,to-read (#156),to-read,,,,0,0
83817782,Determined: A Science of Life without Free Will,Robert M. Sapolsky,"Sapolsky, Robert M.",,"=""0525560971""","=""9780525560975""",0,4.23,Penguin Press,Hardcover,528,2023,2023,,2024/03/16,to-read,to-read (#155),to-read,,,,0,0
27021468,The Baron's Sons,Mór Jókai,"Jókai, Mór",,"=""1505539773""","=""9781505539776""",0,3.63,Createspace,Paperback,216,2015,1869,,2024/03/15,to-read,to-read (#154),to-read,,,,0,0
17125,One Day in the Life of Ivan Denisovich,Aleksandr Solzhenitsyn,"Solzhenitsyn, Aleksandr","Ronald Hingley, H.T. Willetts, Leopold Labedz, Max Hayward","=""""","=""""",0,3.98,"Farrar, Straus and Giroux",Paperback,182,2005,1962,,2017/01/24,to-read,to-read (#42),to-read,,,,0,0
34066798,A Gentleman in Moscow,Amor Towles,"Towles, Amor",,"=""""","=""""",0,4.32,Penguin Books,Paperback,495,2019,2016,,2024/03/10,to-read,to-read (#153),to-read,,,,0,0
46432,Epitaph for a Spy,Eric Ambler,"Ambler, Eric",,"=""0375713247""","=""9780375713248""",0,3.90,Knopf Doubleday Publishing Group,Paperback,263,2002,1938,,2024/03/04,to-read,to-read (#152),to-read,,,,0,0
23168277,"The Sympathizer (The Sympathizer, #1)",Viet Thanh Nguyen,"Nguyen, Viet Thanh",,"=""0802123457""","=""9780802123459""",5,4.01,Grove Press,Hardcover,384,2015,2015,2024/02/27,2024/02/22,"owned, audio","owned (#18), audio (#8)",read,,,,1,0
25451264,"Death's End (Remembrance of Earth’s Past, #3)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""0765377101""","=""9780765377104""",3,4.40,TOR,Hardcover,604,2016,2010,2024/02/13,2024/01/24,audio,audio (#9),read,,,,1,0
15797397,Salt Sugar Fat: How the Food Giants Hooked Us,Michael  Moss,"Moss, Michael",,"=""1400069807""","=""9781400069804""",0,4.02,Random House,Hardcover,480,2013,2013,,2024/02/03,to-read,to-read (#151),to-read,,,,0,0
20518872,"The Three-Body Problem (Remembrance of Earth’s Past, #1)",Liu Cixin,"Cixin, Liu",Ken Liu,"=""""","=""""",3,4.08,Tor Books,Hardcover,472,2014,2006,2024/01/26,2024/01/24,audio,audio (#11),read,,,,1,0
119073,The Name of the Rose,Umberto Eco,"Eco, Umberto",William Weaver,"=""0156001314""","=""9780156001311""",0,4.14,Houghton Mifflin Harcourt,Paperback,552,1994,1980,,2017/01/24,to-read,to-read (#150),to-read,,,,0,0
30621478,Pretul Aurului. Sinceritate Incomoda,Maria Olaru,"Olaru, Maria",,"=""9736457583""","=""9789736457586""",2,3.53,Vremea,Paperback,241,2016,,2023/11/02,2023/10/26,owned,owned (#42),read,,,,1,0
57551003,Nadia și Securitatea,Stejarel Olaru,"Olaru, Stejarel",,"=""""","=""""",3,4.05,Epica,Paperback,416,2021,2021,2023/10/23,2023/10/16,owned,owned (#1),read,,,,1,0
327281,El señor presidente,Miguel Ángel Asturias,"Asturias, Miguel Ángel",Alejandro Lanoël-d'Aussenac,"=""8437615178""","=""9788437615172""",3,3.97,Cátedra,Paperback,432,2005,1946,2023/10/16,2022/11/26,owned,owned (#3),read,,,,1,0
6651778,Traffic: Why We Drive the Way We Do (and What It Says about Us),Tom Vanderbilt,"Vanderbilt, Tom",,"=""0141027398""","=""9780141027395""",0,3.72,"Penguin Books, Limited (UK)",Paperback,416,2009,2008,,2023/09/28,to-read,to-read (#149),to-read,,,,0,0
13453029,"Wool Omnibus (Silo, #1)",Hugh Howey,"Howey, Hugh",,"=""""","=""""",3,4.23,Broad Reach Publishing,Paperback,509,2012,2012,2023/09/17,2023/09/17,,,read,,,,1,0
6177354,Cruciada copiilor,Florina Ilis,"Ilis, Florina",,"=""""","=""""",3,3.93,Cartea Românească,Paperback,488,2005,2005,2023/07/11,2021/04/30,owned,owned (#19),read,,,,1,0
60560749,A Man Called Otto,Fredrik Backman,"Backman, Fredrik",Henning Koch,"=""166801081X""","=""9781668010815""",4,4.38,Atria,Paperback,368,2022,2012,2023/01/01,2023/06/06,audio,audio (#12),read,,,,1,0
